"Step","DDPG-DDPG_4_2_reward(close) - Mean Episode Reward (Last 200 episodes)","DDPG-DDPG_4_2_reward(close) - Mean Episode Reward (Last 200 episodes)__MIN","DDPG-DDPG_4_2_reward(close) - Mean Episode Reward (Last 200 episodes)__MAX"
"1115","69.58043175455826","69.58043175455826","69.58043175455826"
"1118","69.68681845259698","69.68681845259698","69.68681845259698"
"1121","68.50983004553962","68.50983004553962","68.50983004553962"
"1124","67.90618714906616","67.90618714906616","67.90618714906616"
"1127","67.43523207320138","67.43523207320138","67.43523207320138"
"1130","65.6814058079386","65.6814058079386","65.6814058079386"
"1133","65.56457648408083","65.56457648408083","65.56457648408083"
"1136","65.26918521553199","65.26918521553199","65.26918521553199"
"1139","64.8768976122953","64.8768976122953","64.8768976122953"
"1142","64.9543003311498","64.9543003311498","64.9543003311498"
"1145","63.87596444338089","63.87596444338089","63.87596444338089"
"1148","63.66198829614761","63.66198829614761","63.66198829614761"
"1151","63.71292968574251","63.71292968574251","63.71292968574251"
"1154","64.6384967243478","64.6384967243478","64.6384967243478"
"1157","63.67144017150319","63.67144017150319","63.67144017150319"
"1160","63.28047749244158","63.28047749244158","63.28047749244158"
"1163","62.37002209003351","62.37002209003351","62.37002209003351"
"1166","63.445151088338086","63.445151088338086","63.445151088338086"
"1169","62.517095568264224","62.517095568264224","62.517095568264224"
"1172","61.965743195205754","61.965743195205754","61.965743195205754"
"1175","62.00770746854118","62.00770746854118","62.00770746854118"
"1178","62.47369458421649","62.47369458421649","62.47369458421649"
"1181","62.88649822923346","62.88649822923346","62.88649822923346"
"1184","63.49038005401229","63.49038005401229","63.49038005401229"
"1187","63.660576501735186","63.660576501735186","63.660576501735186"
"1190","62.70158838461828","62.70158838461828","62.70158838461828"
"1193","62.76018641527276","62.76018641527276","62.76018641527276"
"1196","63.49300714761103","63.49300714761103","63.49300714761103"
"1199","62.98804132595277","62.98804132595277","62.98804132595277"
"1202","63.196744947032094","63.196744947032094","63.196744947032094"
"1205","62.39162350720543","62.39162350720543","62.39162350720543"
"1208","62.79697621183494","62.79697621183494","62.79697621183494"
"1211","62.97694944936433","62.97694944936433","62.97694944936433"
"1214","62.036861935089554","62.036861935089554","62.036861935089554"
"1217","62.79513866816962","62.79513866816962","62.79513866816962"
"1220","62.056736014217265","62.056736014217265","62.056736014217265"
"1223","63.00715892908842","63.00715892908842","63.00715892908842"
"1226","62.79797531929074","62.79797531929074","62.79797531929074"
"1229","63.19231875589408","63.19231875589408","63.19231875589408"
"1232","63.34663191096459","63.34663191096459","63.34663191096459"
"1235","63.773594103088","63.773594103088","63.773594103088"
"1238","64.51829489605826","64.51829489605826","64.51829489605826"
"1241","64.97435660456705","64.97435660456705","64.97435660456705"
"1244","64.8337297392535","64.8337297392535","64.8337297392535"
"1247","65.03685547579397","65.03685547579397","65.03685547579397"
"1250","64.95187547913218","64.95187547913218","64.95187547913218"
"1253","65.77017721692451","65.77017721692451","65.77017721692451"
"1256","65.99864370202386","65.99864370202386","65.99864370202386"
"1259","66.86099787239372","66.86099787239372","66.86099787239372"
