"Step","DDPG-DDPG-ENS-ENS-3-1 - Mean Episode Reward (Last 200 episodes)","DDPG-DDPG-ENS-ENS-3-1 - Mean Episode Reward (Last 200 episodes)__MIN","DDPG-DDPG-ENS-ENS-3-1 - Mean Episode Reward (Last 200 episodes)__MAX","DDPG-DDPG-ENS-SINGLE-3-1 - Mean Episode Reward (Last 200 episodes)","DDPG-DDPG-ENS-SINGLE-3-1 - Mean Episode Reward (Last 200 episodes)__MIN","DDPG-DDPG-ENS-SINGLE-3-1 - Mean Episode Reward (Last 200 episodes)__MAX","DDPG-DDPG-SINGLE-ENS-3-1 - Mean Episode Reward (Last 200 episodes)","DDPG-DDPG-SINGLE-ENS-3-1 - Mean Episode Reward (Last 200 episodes)__MIN","DDPG-DDPG-SINGLE-ENS-3-1 - Mean Episode Reward (Last 200 episodes)__MAX"
"97","-125.73687599164657","-125.73687599164657","-125.73687599164657","-96.02036969052995","-96.02036969052995","-96.02036969052995","-95.46369122035084","-95.46369122035084","-95.46369122035084"
"98","-124.91139104693747","-124.91139104693747","-124.91139104693747","-95.42475814132904","-95.42475814132904","-95.42475814132904","-94.85134572212418","-94.85134572212418","-94.85134572212418"
"99","-123.81842880132432","-123.81842880132432","-123.81842880132432","-95.24177974485336","-95.24177974485336","-95.24177974485336","-94.4246631482984","-94.4246631482984","-94.4246631482984"
"100","-122.53442385582584","-122.53442385582584","-122.53442385582584","-94.58893914636951","-94.58893914636951","-94.58893914636951","-93.95391767678399","-93.95391767678399","-93.95391767678399"
"101","-121.92830252081916","-121.92830252081916","-121.92830252081916","-95.27800444738149","-95.27800444738149","-95.27800444738149","-92.32161160381565","-92.32161160381565","-92.32161160381565"
"102","-121.74199343637906","-121.74199343637906","-121.74199343637906","-94.56940949517536","-94.56940949517536","-94.56940949517536","-91.76416345694189","-91.76416345694189","-91.76416345694189"
"103","-120.3221217156727","-120.3221217156727","-120.3221217156727","-94.57921552527431","-94.57921552527431","-94.57921552527431","-90.70245982049443","-90.70245982049443","-90.70245982049443"
"104","-118.48843777651673","-118.48843777651673","-118.48843777651673","-94.65221793684738","-94.65221793684738","-94.65221793684738","-90.94281527075502","-90.94281527075502","-90.94281527075502"
"105","-117.04404410248601","-117.04404410248601","-117.04404410248601","-93.6286214625092","-93.6286214625092","-93.6286214625092","-90.43948997193503","-90.43948997193503","-90.43948997193503"
"106","-115.62471653153771","-115.62471653153771","-115.62471653153771","-93.53018675097258","-93.53018675097258","-93.53018675097258","-89.48240874636319","-89.48240874636319","-89.48240874636319"
"107","-113.75334810223272","-113.75334810223272","-113.75334810223272","-92.83302053830381","-92.83302053830381","-92.83302053830381","-88.76726631710942","-88.76726631710942","-88.76726631710942"
"108","-113.05006171326639","-113.05006171326639","-113.05006171326639","-92.43306670560337","-92.43306670560337","-92.43306670560337","-86.41691782620124","-86.41691782620124","-86.41691782620124"
"109","-112.75877837481383","-112.75877837481383","-112.75877837481383","-91.94448970270423","-91.94448970270423","-91.94448970270423","-87.0196568084736","-87.0196568084736","-87.0196568084736"
"110","-112.64648888365649","-112.64648888365649","-112.64648888365649","-90.46715391335229","-90.46715391335229","-90.46715391335229","-86.33349944700679","-86.33349944700679","-86.33349944700679"
"111","-111.05177234351024","-111.05177234351024","-111.05177234351024","-91.20869320003602","-91.20869320003602","-91.20869320003602","-85.91970558224841","-85.91970558224841","-85.91970558224841"
"112","-109.98216375296026","-109.98216375296026","-109.98216375296026","-89.7350830101722","-89.7350830101722","-89.7350830101722","-83.91706996506156","-83.91706996506156","-83.91706996506156"
"113","-109.16983124549702","-109.16983124549702","-109.16983124549702","-89.21787229508749","-89.21787229508749","-89.21787229508749","-83.3637784185373","-83.3637784185373","-83.3637784185373"
"114","-108.8055398983386","-108.8055398983386","-108.8055398983386","-88.75933516278869","-88.75933516278869","-88.75933516278869","-83.83824499164803","-83.83824499164803","-83.83824499164803"
"115","-108.07931898204865","-108.07931898204865","-108.07931898204865","-86.77524398510658","-86.77524398510658","-86.77524398510658","-83.34361744154162","-83.34361744154162","-83.34361744154162"
"116","-108.3219017166321","-108.3219017166321","-108.3219017166321","-85.96797424116396","-85.96797424116396","-85.96797424116396","-81.88475458076967","-81.88475458076967","-81.88475458076967"
"117","-106.21141598723044","-106.21141598723044","-106.21141598723044","-85.34297521907281","-85.34297521907281","-85.34297521907281","-81.43018849070226","-81.43018849070226","-81.43018849070226"
"118","-105.23630332219467","-105.23630332219467","-105.23630332219467","-84.7991029609655","-84.7991029609655","-84.7991029609655","-79.3841745613525","-79.3841745613525","-79.3841745613525"
"119","-105.4919347139548","-105.4919347139548","-105.4919347139548","-83.87408324939017","-83.87408324939017","-83.87408324939017","-78.85294099244946","-78.85294099244946","-78.85294099244946"
"120","-105.26649469492313","-105.26649469492313","-105.26649469492313","-82.89948646385922","-82.89948646385922","-82.89948646385922","-78.3329300517911","-78.3329300517911","-78.3329300517911"
"121","-105.46654300069812","-105.46654300069812","-105.46654300069812","-82.33780333858579","-82.33780333858579","-82.33780333858579","-77.56124867763201","-77.56124867763201","-77.56124867763201"
"122","-105.30846488829961","-105.30846488829961","-105.30846488829961","-81.87714693692983","-81.87714693692983","-81.87714693692983","-77.32556876340367","-77.32556876340367","-77.32556876340367"
"123","-104.8021202459005","-104.8021202459005","-104.8021202459005","-81.5438704522991","-81.5438704522991","-81.5438704522991","-75.50787844363158","-75.50787844363158","-75.50787844363158"
"124","-104.57548380447852","-104.57548380447852","-104.57548380447852","-80.11117789629232","-80.11117789629232","-80.11117789629232","-75.24204170936926","-75.24204170936926","-75.24204170936926"
"125","-103.19787888706486","-103.19787888706486","-103.19787888706486","-79.61285471606135","-79.61285471606135","-79.61285471606135","-73.5779129918319","-73.5779129918319","-73.5779129918319"
"126","-102.750079931437","-102.750079931437","-102.750079931437","-78.77442743142406","-78.77442743142406","-78.77442743142406","-73.21437813422898","-73.21437813422898","-73.21437813422898"
"127","-101.8858014446907","-101.8858014446907","-101.8858014446907","-78.90649942576978","-78.90649942576978","-78.90649942576978","-71.63551122639302","-71.63551122639302","-71.63551122639302"
"128","-101.18428010640508","-101.18428010640508","-101.18428010640508","-78.50717206009958","-78.50717206009958","-78.50717206009958","-70.67906400075438","-70.67906400075438","-70.67906400075438"
"129","-100.78702120717018","-100.78702120717018","-100.78702120717018","-78.3062935845332","-78.3062935845332","-78.3062935845332","-70.53654540033442","-70.53654540033442","-70.53654540033442"
"130","-99.62734007574532","-99.62734007574532","-99.62734007574532","-77.9600323413474","-77.9600323413474","-77.9600323413474","-69.71274654871544","-69.71274654871544","-69.71274654871544"
"131","-98.97197421584491","-98.97197421584491","-98.97197421584491","-76.91769509448773","-76.91769509448773","-76.91769509448773","-69.28193285481065","-69.28193285481065","-69.28193285481065"
"132","-98.3650138475889","-98.3650138475889","-98.3650138475889","-77.15889991652524","-77.15889991652524","-77.15889991652524","-68.87162815042217","-68.87162815042217","-68.87162815042217"
"133","-96.4079206242832","-96.4079206242832","-96.4079206242832","-76.71165902002713","-76.71165902002713","-76.71165902002713","-67.07962881471511","-67.07962881471511","-67.07962881471511"
"134","-96.29356818217494","-96.29356818217494","-96.29356818217494","-76.96852660005379","-76.96852660005379","-76.96852660005379","-66.01141016992386","-66.01141016992386","-66.01141016992386"
"135","-96.35863703946085","-96.35863703946085","-96.35863703946085","-77.13964956276386","-77.13964956276386","-77.13964956276386","-65.19148000994852","-65.19148000994852","-65.19148000994852"
"136","-95.99008545575906","-95.99008545575906","-95.99008545575906","-75.92330261264324","-75.92330261264324","-75.92330261264324","-64.36114772305305","-64.36114772305305","-64.36114772305305"
"137","-95.77341798458247","-95.77341798458247","-95.77341798458247","-76.57386615848955","-76.57386615848955","-76.57386615848955","-64.54089240216153","-64.54089240216153","-64.54089240216153"
"138","-94.05728966311571","-94.05728966311571","-94.05728966311571","-77.28086009896754","-77.28086009896754","-77.28086009896754","-64.37000884066377","-64.37000884066377","-64.37000884066377"
